Employee_ID,Age,Years_Experience,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Survey_Date,Response_Quality,Productivity_Score
EMP0011,30,1,4,Female,Associate Degree,Married,Yes,Rural,Engineering,Junior,Enterprise (5000+),Finance,Good,Very Fast (100+ Mbps),32,High,Weekly,88.7,67.6,68.7,95,13,14,100,2,5,10-04-24,High,81.1
EMP0012,30,1,5,Male,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),31,Moderate,Few times per week,96.4,95.5,81.9,95,8,0,100,6,7,18-04-24,Medium,98
EMP0013,37,4,5,Male,Bachelor Degree,Married,No,Urban,Engineering,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),50,High,Few times per week,86.2,84.4,79.2,95,11,0,100,7,5,08-05-24,High,83.7
EMP0014,22,1,3,Male,Associate Degree,Divorced,Yes,Urban,HR,Junior,Startup (1-50),Finance,Good,Moderate (25-50 Mbps),36,Moderate,Weekly,84.4,70.1,75.7,91.2,11,17,100,4,6,24-03-24,High,76.7
EMP0015,22,1,0,Female,Bachelor Degree,Married,No,Rural,Engineering,Junior,Small (51-200),Technology,Excellent,Fast (50-100 Mbps),44,High,Few times per week,54.3,74.9,59.9,84.4,7,29,100,3,6,26-01-24,Medium,64.4
EMP0016,29,1,3,Male,Bachelor Degree,Single,No,Suburban,Sales,Junior,Large (1001-5000),Retail,Average,Moderate (25-50 Mbps),52,High,Few times per week,72.9,89.9,78.4,95,6,25,100,6,8,30-03-24,High,84.7
EMP0017,25,0,4,Female,Associate Degree,Married,Yes,Suburban,Customer Success,Junior,Small (51-200),Manufacturing,Excellent,Fast (50-100 Mbps),43,Very High,Few times per week,91.4,90.1,83.6,95,5,34,100,3,8,09-03-24,Medium,98
EMP0018,37,3,4,Female,Bachelor Degree,Single,Yes,Urban,Engineering,Senior,Startup (1-50),Consulting,Good,Very Fast (100+ Mbps),45,Very High,Weekly,69.5,78.6,77.7,95,12,13,100,4,4,19-01-24,High,80.3
EMP0019,26,2,3,Male,Associate Degree,In Relationship,No,Suburban,Customer Success,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),36,Moderate,Daily,87.6,93.1,79.7,92.7,5,18,85.3,7,6,18-01-24,High,76.3
EMP0020,22,0,3,Male,Bachelor Degree,Married,Yes,Urban,Operations,Junior,Medium (201-1000),Manufacturing,Good,Very Fast (100+ Mbps),43,High,Few times per week,82.4,80.5,78.5,95,5,30,100,6,7,26-01-24,High,85.9
EMP0021,48,17,2,Female,Bachelor Degree,Married,Yes,Urban,Sales,Lead,Medium (201-1000),Education,Average,Fast (50-100 Mbps),36,Moderate,Few times per week,82.2,80.7,59.3,92.4,7,58,99.2,9,6,11-02-24,Medium,73.1
EMP0022,32,1,2,Male,Master Degree,Divorced,No,Suburban,Engineering,Junior,Large (1001-5000),Government,Poor,Fast (50-100 Mbps),30,High,Daily,59.7,71.4,62.4,75.3,11,53,100,5,3,13-02-24,High,57.9
EMP0023,35,1,3,Female,Master Degree,Married,No,Urban,Engineering,Junior,Startup (1-50),Finance,Excellent,Very Fast (100+ Mbps),42,Very High,Weekly,94.4,85.8,73,95,8,30,100,4,6,19-03-24,High,98
EMP0024,22,0,1,Female,Master Degree,Married,No,Suburban,Sales,Junior,Medium (201-1000),Non-profit,Good,Very Fast (100+ Mbps),43,High,Few times per week,95.3,95.9,87.3,95,3,0,100,7,5,01-04-24,High,98
EMP0025,30,5,2,Female,Bachelor Degree,Married,Yes,Rural,Engineering,Mid-Level,Small (51-200),Retail,Average,Very Fast (100+ Mbps),38,High,Daily,60.5,73.3,83.7,95,4,17,100,9,6,18-01-24,Medium,79.8
EMP0026,35,0,2,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Enterprise (5000+),Manufacturing,Good,Very Fast (100+ Mbps),37,Moderate,Few times per week,68.2,71.6,75.8,95,8,19,100,6,6,26-03-24,High,83.3
EMP0027,24,0,3,Female,Bachelor Degree,Divorced,No,Urban,Engineering,Mid-Level,Small (51-200),Technology,Good,Very Fast (100+ Mbps),40,Very Low,Daily,100,100,91.3,95,8,40,100,5,7,09-02-24,Medium,98
EMP0028,38,2,0,Non-binary,High School,Married,Yes,Urban,Operations,Junior,Startup (1-50),Healthcare,Poor,Very Fast (100+ Mbps),37,Low,Weekly,69.7,62.1,48.8,71.5,16,13,68.8,8,6,15-04-24,High,55
EMP0029,29,3,4,Male,Master Degree,In Relationship,Yes,Urban,Engineering,Mid-Level,Startup (1-50),Healthcare,Good,Very Fast (100+ Mbps),46,Moderate,Few times per week,89.2,81.4,67.3,95,9,1,95.4,6,5,07-04-24,Medium,83.1
EMP0030,32,1,3,Female,Bachelor Degree,Single,No,Urban,HR,Junior,Small (51-200),Technology,Excellent,Moderate (25-50 Mbps),44,Moderate,Daily,84.2,99.4,76.9,95,6,30,89.6,4,7,13-04-24,High,98
EMP0031,29,3,4,Male,Bachelor Degree,Single,No,Suburban,Engineering,Mid-Level,Small (51-200),Finance,Average,Very Fast (100+ Mbps),51,Low,Monthly,84.9,88.9,76.4,95,6,32,91.5,9,8,24-03-24,High,90.3
EMP0032,51,21,4,Male,Bachelor Degree,Single,No,Urban,Customer Success,Manager,Medium (201-1000),Government,Poor,Moderate (25-50 Mbps),39,Moderate,Daily,96.7,95.9,72.2,95,8,13,90.7,5,3,08-03-24,High,86.8
EMP0033,34,8,2,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Mid-Level,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),42,Moderate,Few times per week,80.8,85.2,72.1,95,2,26,100,8,5,12-02-24,Medium,89.4
EMP0034,25,0,3,Female,Professional Degree,Single,No,Urban,Finance,Junior,Small (51-200),Technology,Good,Fast (50-100 Mbps),43,Moderate,Weekly,71.4,75.5,69.8,86.2,4,48,100,6,5,12-03-24,High,74.7
EMP0035,42,13,5,Male,Bachelor Degree,Single,No,Urban,Sales,Lead,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),39,Moderate,Few times per week,63.4,87,64.4,95,7,0,100,6,5,30-03-24,High,77.2
EMP0036,24,0,4,Male,Master Degree,Married,No,Suburban,Operations,Junior,Large (1001-5000),Technology,Poor,Fast (50-100 Mbps),30,Moderate,Monthly,52.4,69.3,53.6,84.2,7,4,50.3,5,9,19-02-24,Medium,56.3
EMP0037,36,4,5,Non-binary,Bachelor Degree,Married,No,Suburban,Engineering,Senior,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),44,Moderate,Weekly,88,83.8,64.5,95,7,0,99.8,3,4,27-04-24,High,90
EMP0038,22,1,4,Female,Professional Degree,Married,Yes,Suburban,Marketing,Junior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),56,Moderate,Bi-weekly,62.5,50,55.9,69.9,6,9,100,4,9,05-05-24,High,50.2
EMP0039,23,0,1,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Finance,Average,Moderate (25-50 Mbps),47,Moderate,Few times per week,100,97.9,66.8,95,6,47,100,5,6,15-01-24,High,94
EMP0040,36,2,0,Female,Master Degree,Married,Yes,Suburban,Marketing,Junior,Large (1001-5000),Manufacturing,Average,Fast (50-100 Mbps),53,High,Few times per week,94.2,100,90.3,95,8,37,100,5,7,21-04-24,High,98
EMP0041,41,7,3,Non-binary,Associate Degree,Married,Yes,Suburban,Engineering,Senior,Large (1001-5000),Technology,Excellent,Very Fast (100+ Mbps),47,Moderate,Weekly,92.4,87.4,78,95,6,23,100,3,6,27-04-24,Medium,98
EMP0042,36,3,2,Female,Master Degree,Divorced,No,Urban,Marketing,Mid-Level,Startup (1-50),Consulting,Good,Very Fast (100+ Mbps),41,Very High,Bi-weekly,89.8,93.3,95,95,5,4,100,6,7,04-02-24,High,98
EMP0043,33,0,2,Male,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Government,Average,Very Fast (100+ Mbps),45,Low,Bi-weekly,67.5,78.6,63.5,95,3,15,73.1,6,7,13-04-24,Medium,65.4
EMP0044,32,3,4,Female,Bachelor Degree,Married,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),48,High,Bi-weekly,82.5,83.3,83.1,95,3,20,100,3,6,09-03-24,Medium,78
EMP0045,22,1,2,Female,Master Degree,Married,No,Urban,Operations,Junior,Medium (201-1000),Consulting,Average,Fast (50-100 Mbps),32,High,Weekly,74,79.8,75.9,94.3,2,72,100,6,5,27-02-24,High,73.4
EMP0046,28,2,2,Male,PhD,Single,Yes,Rural,Data Science,Junior,Large (1001-5000),Healthcare,Excellent,Very Fast (100+ Mbps),44,Moderate,Daily,88.2,83.8,89.2,82.7,7,24,100,3,9,19-02-24,High,75
EMP0047,30,0,4,Female,Bachelor Degree,Divorced,No,Urban,Marketing,Junior,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),41,Moderate,Daily,100,92.1,64.6,95,6,2,100,9,9,03-02-24,High,90.3
EMP0048,44,7,4,Male,Master Degree,Single,No,Suburban,Finance,Senior,Enterprise (5000+),Technology,Good,Fast (50-100 Mbps),50,High,Daily,99.8,75.7,79.4,95,8,18,100,4,3,11-02-24,High,78.9
EMP0049,38,9,2,Female,Associate Degree,Divorced,Yes,Suburban,Marketing,Mid-Level,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),44,High,Daily,100,99.1,80.9,95,9,20,100,7,5,21-04-24,High,98
EMP0050,22,0,4,Male,Master Degree,Married,Yes,Urban,Marketing,Junior,Small (51-200),Government,Excellent,Fast (50-100 Mbps),27,Low,Daily,52.6,70,56.2,93.9,8,33,100,4,7,27-02-24,High,68.3
EMP0051,37,5,5,Non-binary,Master Degree,Divorced,Yes,Urban,Engineering,Senior,Medium (201-1000),Technology,Average,Fast (50-100 Mbps),44,Very High,Daily,74,60.6,49.3,88.3,16,0,100,6,10,28-01-24,High,63.6
EMP0052,31,0,3,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Junior,Startup (1-50),Technology,Good,Fast (50-100 Mbps),29,Very High,Daily,100,96.2,74,95,6,0,100,9,8,26-01-24,Medium,98
EMP0053,28,3,0,Female,Master Degree,Married,Yes,Urban,Product,Senior,Small (51-200),Technology,Average,Very Fast (100+ Mbps),49,Moderate,Monthly,77.4,81.5,51.2,95,4,21,100,8,8,03-03-24,High,75.9
EMP0054,40,9,0,Female,Master Degree,Married,No,Urban,Sales,Senior,Large (1001-5000),Healthcare,Good,Moderate (25-50 Mbps),37,Moderate,Daily,51,76.5,72.2,87.1,5,63,96.2,7,5,27-01-24,High,65.9
EMP0055,44,11,3,Male,Bachelor Degree,Married,Yes,Rural,Operations,Lead,Small (51-200),Government,Average,Very Fast (100+ Mbps),35,Moderate,Daily,63.6,58.8,68.2,77.1,9,34,82.8,7,5,29-02-24,High,55.3
EMP0056,43,7,2,Male,Master Degree,Married,No,Suburban,Marketing,Senior,Large (1001-5000),Education,Poor,Fast (50-100 Mbps),37,Moderate,Weekly,73.4,80.9,86,95,10,36,100,8,5,02-05-24,High,82.9
EMP0057,27,1,5,Male,Associate Degree,Married,Yes,Urban,Sales,Junior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),36,Low,Weekly,100,100,81,95,5,0,100,7,6,28-02-24,High,98
EMP0058,32,5,4,Female,Master Degree,Married,No,Urban,Sales,Senior,Large (1001-5000),Finance,Excellent,Fast (50-100 Mbps),41,Low,Daily,100,93.6,83.6,95,12,16,100,8,8,01-04-24,Medium,94.4
EMP0059,37,8,4,Female,Master Degree,Married,Yes,Suburban,Operations,Senior,Small (51-200),Finance,Excellent,Fast (50-100 Mbps),36,Moderate,Daily,83.5,83.2,68.7,95,7,35,75.1,5,5,17-02-24,High,84.1
EMP0060,43,6,5,Male,Associate Degree,Single,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Average,Very Fast (100+ Mbps),40,High,Daily,77.8,86.3,65.5,91,8,0,100,6,7,27-04-24,High,82.2
EMP0061,30,1,5,Male,Master Degree,Divorced,No,Urban,Sales,Junior,Startup (1-50),Healthcare,Good,Moderate (25-50 Mbps),32,High,Few times per week,75.4,81.1,62.2,95,5,0,100,6,8,20-01-24,Low,71.9
EMP0062,33,2,2,Female,Bachelor Degree,Married,Yes,Suburban,Marketing,Junior,Small (51-200),Technology,Average,Very Fast (100+ Mbps),40,Moderate,Daily,86.7,85.3,71.6,95,4,47,84.7,4,6,17-04-24,Medium,93.8
EMP0063,25,1,1,Male,Bachelor Degree,Married,No,Urban,Data Science,Junior,Medium (201-1000),Consulting,Average,Fast (50-100 Mbps),50,Moderate,Weekly,70.7,86.4,55.5,95,10,12,100,6,6,13-03-24,High,83.4
EMP0064,24,0,4,Female,Bachelor Degree,In Relationship,No,Suburban,Sales,Junior,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),39,Very High,Weekly,84.9,100,95,95,5,41,100,3,6,23-03-24,High,98
EMP0065,42,6,2,Male,Bachelor Degree,Married,No,Suburban,Operations,Senior,Medium (201-1000),Consulting,Good,Very Fast (100+ Mbps),45,Moderate,Weekly,100,99,88.5,95,12,79,100,6,7,30-01-24,Medium,98
EMP0066,47,6,3,Female,Master Degree,Married,Yes,Urban,Engineering,Lead,Medium (201-1000),Government,Average,Very Fast (100+ Mbps),34,Low,Few times per week,70.8,74.9,61.3,95,5,18,76,3,8,12-05-24,High,74.7
EMP0067,34,4,4,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Mid-Level,Enterprise (5000+),Government,Excellent,Very Fast (100+ Mbps),45,High,Daily,89.9,98.5,81.2,95,8,9,100,6,10,03-03-24,Low,98
EMP0068,44,17,5,Female,Bachelor Degree,Divorced,No,Urban,Product,Manager,Small (51-200),Technology,Good,Moderate (25-50 Mbps),48,Moderate,Few times per week,92.9,97.3,95,95,12,0,100,6,8,25-01-24,Low,98
EMP0069,38,11,3,Female,Master Degree,Single,No,Suburban,HR,Lead,Large (1001-5000),Government,Excellent,Moderate (25-50 Mbps),50,Moderate,Few times per week,91.2,91.9,87.3,95,7,37,100,3,6,25-03-24,Medium,92.2
EMP0070,29,1,4,Male,Associate Degree,Married,Yes,Urban,Sales,Junior,Medium (201-1000),Manufacturing,Average,Fast (50-100 Mbps),43,High,Weekly,60.6,55.4,42,66,2,38,100,5,3,21-02-24,Low,53.3
EMP0071,38,2,2,Female,Bachelor Degree,Married,Yes,Urban,Marketing,Junior,Medium (201-1000),Manufacturing,Average,Very Fast (100+ Mbps),46,Moderate,Bi-weekly,89.1,90.9,72.4,95,6,29,86,7,4,30-04-24,High,81.6
EMP0072,48,17,4,Female,Bachelor Degree,Single,Yes,Rural,Engineering,Manager,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),34,High,Daily,82.2,89.3,79.2,95,9,6,100,6,2,04-04-24,High,98
EMP0073,34,5,0,Female,Master Degree,Single,No,Urban,Finance,Mid-Level,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),39,Moderate,Monthly,71.4,73,56.9,88.2,10,43,100,6,6,03-04-24,High,76.1
EMP0074,49,24,5,Female,Bachelor Degree,Married,Yes,Rural,Engineering,Director,Medium (201-1000),Non-profit,Average,Very Fast (100+ Mbps),37,Moderate,Bi-weekly,81.2,96.1,82.7,95,12,0,95,5,6,07-05-24,High,84.2
EMP0075,22,0,0,Male,Bachelor Degree,Married,No,Urban,HR,Junior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),43,Moderate,Daily,59.9,50,49.1,69.6,9,0,71.1,2,8,04-05-24,High,48.5
EMP0076,42,7,4,Female,Bachelor Degree,Divorced,Yes,Urban,Marketing,Mid-Level,Startup (1-50),Technology,Average,Very Fast (100+ Mbps),38,High,Daily,87.3,83.3,70.8,95,10,27,100,9,3,01-03-24,High,90.1
EMP0077,35,3,0,Non-binary,Master Degree,Married,No,Suburban,Engineering,Mid-Level,Large (1001-5000),Finance,Poor,Fast (50-100 Mbps),46,Very High,Daily,77.1,88.7,92.1,95,10,0,100,5,5,28-03-24,Medium,84.8
EMP0078,32,9,2,Female,Associate Degree,Married,Yes,Urban,Product,Senior,Small (51-200),Media,Average,Moderate (25-50 Mbps),56,Moderate,Few times per week,100,92.8,81,95,7,26,87.9,5,6,08-02-24,High,98
EMP0079,35,5,3,Female,PhD,Single,No,Urban,Data Science,Mid-Level,Medium (201-1000),Healthcare,Good,Fast (50-100 Mbps),45,High,Daily,98.3,97.3,84.3,95,10,43,100,3,8,14-04-24,High,98
EMP0080,22,0,3,Male,Master Degree,Married,Yes,Urban,Engineering,Junior,Medium (201-1000),Media,Good,Moderate (25-50 Mbps),50,Very High,Daily,89,81.9,69.5,95,7,57,100,6,3,23-01-24,High,85.6
EMP0081,33,6,1,Female,Master Degree,Married,Yes,Rural,Customer Success,Lead,Medium (201-1000),Finance,Good,Fast (50-100 Mbps),34,High,Bi-weekly,100,96.7,67.9,95,9,56,100,9,5,20-01-24,Medium,98
EMP0082,38,10,2,Female,Bachelor Degree,Married,Yes,Urban,HR,Lead,Medium (201-1000),Technology,Average,Fast (50-100 Mbps),41,Moderate,Daily,100,93.8,83.3,95,8,38,100,4,7,08-04-24,High,96.6
EMP0083,48,12,4,Male,Bachelor Degree,Single,Yes,Suburban,HR,Manager,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),43,Moderate,Few times per week,92.5,87.2,67.9,95,9,32,86.9,5,5,13-02-24,High,84.9
EMP0084,30,0,4,Female,Master Degree,Married,Yes,Suburban,Design,Mid-Level,Medium (201-1000),Education,Average,Very Fast (100+ Mbps),42,Very Low,Weekly,61.3,60.6,47,82.1,12,28,48.4,4,10,22-04-24,High,60.3
EMP0085,27,1,0,Female,Associate Degree,Divorced,No,Suburban,Marketing,Mid-Level,Medium (201-1000),Finance,Excellent,Moderate (25-50 Mbps),53,High,Bi-weekly,56.2,68.7,81.7,75.1,8,14,100,8,6,21-02-24,High,65.2
EMP0086,30,5,4,Male,Associate Degree,Married,No,Suburban,Finance,Mid-Level,Small (51-200),Finance,Average,Fast (50-100 Mbps),37,High,Daily,79.8,78,72.3,88.9,11,31,100,6,9,25-01-24,Medium,72.6
EMP0087,43,13,0,Male,Bachelor Degree,Married,Yes,Urban,Customer Success,Lead,Small (51-200),Technology,Average,Fast (50-100 Mbps),43,Moderate,Daily,100,88.7,75.4,95,12,28,100,8,9,03-05-24,High,85.9
EMP0088,37,5,3,Female,PhD,Married,No,Urban,Marketing,Junior,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),27,Moderate,Weekly,90.8,97,89.4,95,6,36,100,8,5,13-02-24,High,94.8
EMP0089,30,0,2,Male,Master Degree,Single,No,Urban,Marketing,Junior,Large (1001-5000),Retail,Good,Very Fast (100+ Mbps),44,High,Weekly,80.6,73.6,59.2,95,11,57,100,7,5,04-05-24,High,74.9
EMP0090,39,10,3,Male,Bachelor Degree,Single,Yes,Urban,Sales,Lead,Small (51-200),Finance,Excellent,Slow (<25 Mbps),45,High,Monthly,97.8,91.3,71.9,95,7,18,100,4,5,27-01-24,High,98
EMP0091,35,7,2,Male,Master Degree,Divorced,No,Urban,HR,Mid-Level,Small (51-200),Technology,Average,Very Fast (100+ Mbps),41,High,Daily,73.9,88.9,95,95,14,33,100,2,6,03-03-24,High,89
EMP0092,43,5,5,Male,Bachelor Degree,Married,No,Urban,Finance,Mid-Level,Small (51-200),Technology,Average,Moderate (25-50 Mbps),44,Moderate,Weekly,86.9,79.4,66.9,95,7,0,100,3,3,19-02-24,Medium,88.9
EMP0093,28,2,2,Female,Master Degree,Married,No,Rural,Marketing,Junior,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),38,High,Few times per week,78.3,90.2,87.1,89.8,5,39,100,7,8,13-03-24,Medium,83
EMP0094,32,0,2,Female,Bachelor Degree,Single,Yes,Rural,Sales,Junior,Large (1001-5000),Media,Excellent,Very Fast (100+ Mbps),34,Low,Bi-weekly,87.1,100,95,95,13,39,98.8,7,4,05-04-24,High,94.6
EMP0095,31,3,2,Female,Master Degree,Married,Yes,Urban,Engineering,Mid-Level,Startup (1-50),Finance,Good,Very Fast (100+ Mbps),36,Moderate,Few times per week,96.7,100,95,95,8,79,100,7,9,30-04-24,Medium,93.3
EMP0096,22,0,5,Female,Bachelor Degree,Single,No,Urban,Engineering,Junior,Large (1001-5000),Technology,Good,Moderate (25-50 Mbps),36,High,Few times per week,88,82.7,80.7,95,7,0,100,4,7,01-03-24,Medium,89.3
EMP0097,37,7,4,Female,Bachelor Degree,Single,No,Urban,Marketing,Mid-Level,Startup (1-50),Finance,Good,Moderate (25-50 Mbps),34,High,Daily,79.1,85.2,62.9,95,7,20,100,4,6,04-02-24,Medium,87.5
EMP0098,37,9,4,Male,Bachelor Degree,Married,Yes,Urban,Sales,Senior,Small (51-200),Education,Good,Moderate (25-50 Mbps),34,Very High,Daily,88.5,100,81.5,95,12,0,100,9,7,02-03-24,High,98
EMP0099,35,9,5,Female,Bachelor Degree,Married,No,Urban,Customer Success,Senior,Enterprise (5000+),Education,Excellent,Very Fast (100+ Mbps),37,Moderate,Few times per week,100,99.2,81.4,95,5,0,100,7,9,29-02-24,High,98
EMP0100,32,4,5,Male,Master Degree,Single,No,Rural,Marketing,Mid-Level,Large (1001-5000),Technology,Good,Very Fast (100+ Mbps),39,Moderate,Daily,78.2,89.5,79,88.2,12,0,100,7,5,10-02-24,High,79.6
EMP0101,22,1,4,Male,Bachelor Degree,Single,Yes,Urban,Design,Junior,Large (1001-5000),Retail,Average,Fast (50-100 Mbps),42,Very High,Few times per week,78,89.2,84.1,95,4,21,100,3,5,09-04-24,Medium,92.2
EMP0102,31,2,1,Female,Bachelor Degree,Married,No,Urban,Engineering,Junior,Medium (201-1000),Education,Average,Very Fast (100+ Mbps),34,Moderate,Daily,48,54.8,46.9,69.2,8,73,84.4,5,6,18-02-24,High,44.5
EMP0103,31,5,4,Female,Bachelor Degree,Married,No,Urban,Data Science,Junior,Small (51-200),Technology,Good,Fast (50-100 Mbps),36,Moderate,Weekly,100,97.9,92,95,9,31,100,2,6,13-04-24,Medium,98
EMP0104,27,1,2,Female,Bachelor Degree,Married,Yes,Rural,Sales,Mid-Level,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),38,High,Daily,73.1,93.4,76.5,95,9,37,100,7,3,13-05-24,High,86.8
EMP0105,33,4,4,Non-binary,Associate Degree,Married,No,Rural,Operations,Mid-Level,Large (1001-5000),Healthcare,Excellent,Very Fast (100+ Mbps),44,High,Weekly,100,95.5,61.1,95,10,6,100,6,7,11-04-24,High,98
EMP0106,38,9,4,Female,Bachelor Degree,In Relationship,Yes,Suburban,Marketing,Lead,Small (51-200),Education,Good,Fast (50-100 Mbps),34,High,Weekly,97.2,89.1,81.7,95,8,22,100,6,7,06-04-24,Medium,98
EMP0107,51,17,4,Female,Bachelor Degree,Single,Yes,Suburban,Sales,Manager,Medium (201-1000),Government,Average,Moderate (25-50 Mbps),38,High,Daily,85.7,80,72.4,90.4,5,47,100,8,7,24-01-24,Low,82.8
EMP0108,36,7,3,Female,Bachelor Degree,Single,No,Urban,Engineering,Lead,Large (1001-5000),Finance,Excellent,Moderate (25-50 Mbps),47,High,Daily,90.3,99.2,91.9,95,2,41,100,7,5,01-04-24,High,98
EMP0109,37,8,4,Male,Bachelor Degree,Married,No,Urban,Engineering,Senior,Enterprise (5000+),Manufacturing,Good,Fast (50-100 Mbps),37,Very High,Weekly,95.8,97.4,95,95,11,46,100,9,8,05-04-24,High,98
EMP0110,34,4,5,Male,PhD,Single,No,Suburban,Finance,Mid-Level,Large (1001-5000),Technology,Excellent,Fast (50-100 Mbps),34,High,Daily,100,100,83.5,95,8,0,100,2,6,05-02-24,Medium,98
EMP0111,22,1,1,Female,Master Degree,Married,No,Suburban,Sales,Junior,Large (1001-5000),Media,Good,Fast (50-100 Mbps),41,Low,Daily,62.4,59,79.5,75.8,13,10,84.6,6,7,23-03-24,High,57.1
EMP0112,34,1,2,Female,Bachelor Degree,Married,No,Urban,Data Science,Junior,Startup (1-50),Education,Average,Very Fast (100+ Mbps),37,Very High,Few times per week,62.1,84,59.9,94.4,10,49,100,6,5,17-04-24,High,75.9
EMP0113,35,5,4,Male,Master Degree,In Relationship,No,Urban,Sales,Senior,Medium (201-1000),Education,Excellent,Very Fast (100+ Mbps),25,Very High,Few times per week,100,99.2,95,95,11,0,100,2,8,15-02-24,High,98
